Date,Open,High,Low,Close,Adj Close,Volume
2020-03-16,31.680000,32.180000,27.410000,27.410000,27.311445,9084000
2020-03-17,28.510000,29.750000,27.500000,28.680000,28.576878,12629900
2020-03-18,25.900000,28.389999,25.110001,26.469999,26.374823,11983200
2020-03-19,26.230000,30.379999,25.770000,28.730000,28.626696,13885500
2020-03-20,31.150000,35.000000,30.549999,32.369999,32.253609,14882100
2020-03-23,33.900002,37.279999,31.459999,35.200001,35.106224,18755200
2020-03-24,38.889999,40.200001,36.060001,36.060001,35.963936,14152000
2020-03-25,36.750000,38.660000,36.689999,37.360001,37.260468,9183200
2020-03-26,37.799999,39.000000,36.470001,37.950001,37.848900,6011500
2020-03-27,36.500000,36.500000,34.900002,35.360001,35.265797,7004900
2020-03-30,35.610001,37.270000,33.500000,34.020000,33.929367,7593300
2020-03-31,34.090000,35.439999,32.959999,33.570000,33.480564,7063300
2020-04-01,32.400002,33.470001,31.540001,32.430000,32.343605,6457400
2020-04-02,33.349998,35.139999,32.759998,34.099998,34.009155,5974800
2020-04-03,34.250000,34.480000,31.420000,32.889999,32.802380,5670300
2020-04-06,35.090000,35.099998,32.700001,33.279999,33.191338,5498000
2020-04-07,35.500000,37.689999,35.250000,37.299999,37.200630,8688400
2020-04-08,37.500000,40.080002,37.500000,39.990002,39.883465,7315700
2020-04-09,40.540001,41.400002,38.189999,38.299999,38.197964,6340000
2020-04-13,38.139999,39.500000,37.599998,39.259998,39.155407,3679200
2020-04-14,40.009998,40.480000,38.900002,38.900002,38.796371,5764000
2020-04-15,38.099998,39.049999,38.000000,38.000000,37.898766,5932300
2020-04-16,38.169998,38.910000,37.730000,38.009998,37.908737,7039500
2020-04-17,38.919998,38.980000,37.779999,38.459999,38.357540,6870000
2020-04-20,37.680000,39.560001,36.939999,39.099998,38.995834,5909700
2020-04-22,39.299999,41.200001,39.189999,40.919998,40.810986,5391900
2020-04-23,41.549999,41.950001,38.910000,39.590000,39.484528,5843200
2020-04-24,38.680000,39.439999,35.250000,38.709999,38.606873,10704200
2020-04-27,39.320000,41.060001,38.830002,40.599998,40.491837,6394000
2020-04-28,42.000000,42.299999,40.400002,41.580002,41.469231,7386100
2020-04-29,43.209999,44.049999,41.400002,41.400002,41.289711,7446800
2020-04-30,40.650002,41.290001,39.200001,39.939999,39.833595,7003100
2020-05-04,38.980000,39.990002,38.209999,39.840000,39.733864,4908600
2020-05-05,40.299999,40.720001,38.830002,39.009998,38.906075,4112500
2020-05-06,39.060001,39.230000,37.700001,38.830002,38.726559,6652300
2020-05-07,39.230000,40.889999,38.720001,39.090000,38.985863,9607100
2020-05-08,40.000000,40.099998,38.000000,38.240002,38.138126,5073300
2020-05-11,38.310001,39.240002,38.150002,38.830002,38.726559,4905000
2020-05-12,38.990002,39.380001,37.150002,37.500000,37.400097,4163400
2020-05-13,37.910000,38.560001,37.439999,38.000000,37.898766,5321100
2020-05-14,37.799999,38.060001,36.320000,37.349998,37.250492,6265800
2020-05-15,37.080002,37.410000,36.000000,36.410000,36.313000,5854400
2020-05-18,37.389999,37.480000,36.580002,36.619999,36.522442,4178400
2020-05-19,36.720001,38.000000,36.330002,36.919998,36.821644,6069200
2020-05-20,37.049999,38.669998,37.049999,37.639999,37.539722,5223800
2020-05-21,37.830002,38.049999,36.970001,37.439999,37.340256,4988000
2020-05-22,37.410000,38.430000,36.700001,37.240002,37.140793,4836100
2020-05-25,38.110001,38.549999,37.619999,38.040001,37.938660,3700300
2020-05-26,38.810001,40.549999,38.500000,40.419998,40.312317,7258500
2020-05-27,40.840000,40.980000,39.599998,40.580002,40.471893,4885000
2020-05-28,40.369999,41.150002,40.150002,40.680000,40.571625,4658000
2020-05-29,40.200001,41.830002,39.610001,41.830002,41.718563,8802900
2020-06-01,41.889999,43.000000,41.810001,42.160000,42.047684,5534700
2020-06-02,42.419998,42.799999,41.810001,42.419998,42.306988,3339300
2020-06-03,43.299999,43.799999,42.310001,42.599998,42.486507,4592900
2020-06-04,42.099998,43.860001,41.270000,43.799999,43.683311,5808900
2020-06-05,44.500000,45.430000,44.049999,44.330002,44.211903,6099000
2020-06-08,44.889999,46.279999,44.259998,45.799999,45.677986,5162800
2020-06-09,44.730000,46.080002,43.849998,45.810001,45.687962,4179400
2020-06-10,45.930000,46.639999,44.470001,44.990002,44.870144,4847800
2020-06-12,43.549999,44.630001,42.700001,44.250000,44.132114,5716200
2020-06-15,43.000000,44.919998,43.000000,44.270000,44.152061,3992700
2020-06-16,45.200001,46.169998,44.759998,44.759998,44.640755,4490600
2020-06-17,45.060001,47.000000,45.060001,46.160000,46.037025,4744600
2020-06-18,46.160000,46.669998,45.740002,46.130001,46.007107,2622600
2020-06-19,46.799999,47.000000,45.990002,46.209999,46.086891,8316600
2020-06-22,46.299999,46.700001,45.520000,45.599998,45.478519,2975200
2020-06-23,46.299999,46.790001,45.680000,46.119999,45.997131,3233400
2020-06-24,45.750000,46.740002,45.230000,46.049999,45.927319,3629700
2020-06-25,46.099998,49.500000,46.060001,49.220001,49.088875,7771400
2020-06-26,49.189999,51.169998,48.919998,50.000000,49.866798,8247900
2020-06-29,50.410000,50.720001,49.209999,49.919998,49.825111,3413700
2020-06-30,49.689999,51.480000,49.549999,50.610001,50.513802,5538000
2020-07-01,50.799999,52.590000,50.799999,52.590000,52.490036,4465900
2020-07-02,53.310001,54.250000,53.009998,53.570000,53.468174,4853700
2020-07-03,53.590000,54.270000,53.209999,54.000000,53.897358,3289900
2020-07-06,55.000000,55.000000,53.029999,53.200001,53.098877,5558500
2020-07-07,53.279999,54.139999,52.150002,53.910000,53.807529,4797200
2020-07-08,54.000000,55.000000,53.799999,54.299999,54.196785,3805800
2020-07-09,54.619999,54.770000,54.119999,54.459999,54.356483,3747000
2020-07-10,54.590000,55.220001,53.930000,54.700001,54.596027,3670100
2020-07-13,54.799999,55.889999,54.599998,54.939999,54.835567,5080100
2020-07-14,54.500000,55.580002,53.820000,53.990002,53.887379,5176000
2020-07-15,54.540001,54.700001,54.080002,54.349998,54.246689,4617200
2020-07-16,54.139999,55.720001,53.669998,54.549999,54.446312,5117900
2020-07-17,55.029999,58.459999,54.700001,58.090000,57.979584,6470700
2020-07-20,58.400002,60.160000,58.200001,60.160000,60.045647,5236000
2020-07-21,60.500000,61.029999,59.009998,59.880001,59.766182,5063300
2020-07-22,62.700001,68.900002,62.509998,68.199997,68.070366,17764000
2020-07-23,68.000000,69.800003,66.610001,66.980003,66.852692,9899800
2020-07-24,66.809998,67.820000,65.410004,66.709999,66.583199,6584700
2020-07-27,67.809998,71.019997,67.730003,69.949997,69.949997,7216800
2020-07-28,69.800003,69.849998,67.099998,67.190002,67.190002,6576300
2020-07-29,67.760002,68.050003,66.000000,66.980003,66.980003,6347700
2020-07-30,66.129997,68.000000,64.599998,68.000000,68.000000,4323000
2020-07-31,68.389999,68.599998,67.000000,67.349998,67.349998,4287100
2020-08-03,67.360001,67.529999,66.099998,66.570000,66.570000,5598100
2020-08-04,65.900002,67.529999,65.500000,66.790001,66.790001,6358400
2020-08-05,67.889999,69.279999,67.550003,68.199997,68.199997,5376000
2020-08-06,68.589996,69.889999,68.309998,69.830002,69.830002,4035000
2020-08-07,69.029999,70.190002,68.180000,68.449997,68.449997,4717900
2020-08-10,68.540001,69.360001,67.290001,68.989998,68.989998,3593200
2020-08-11,69.470001,69.930000,67.370003,67.370003,67.370003,3967000
2020-08-12,68.099998,68.449997,66.110001,68.000000,68.000000,4766200
2020-08-13,68.500000,70.919998,68.400002,68.900002,68.900002,7440100
2020-08-14,68.970001,70.430000,68.209999,69.169998,69.169998,4486000
2020-08-17,68.989998,69.589996,67.150002,67.970001,67.970001,4761100
2020-08-18,69.290001,69.330002,67.320000,67.699997,67.699997,5308200
2020-08-19,68.010002,68.449997,65.760002,65.879997,65.879997,5437900
2020-08-20,64.989998,67.940002,64.209999,67.220001,67.220001,7368200
2020-08-21,67.110001,67.610001,66.099998,67.599998,67.599998,4592500
2020-08-24,67.760002,68.599998,66.250000,66.470001,66.470001,5249600
2020-08-25,66.559998,68.540001,66.559998,68.290001,68.290001,5044900
2020-08-26,68.290001,68.739998,65.800003,66.430000,66.430000,6922800
2020-08-27,66.900002,67.290001,65.519997,66.290001,66.290001,3476300
2020-08-28,66.800003,67.980003,66.089996,67.190002,67.190002,3854100
2020-08-31,67.120003,67.120003,64.620003,64.620003,64.620003,8068200
2020-09-01,65.699997,67.099998,65.190002,66.930000,66.930000,3969000
2020-09-02,67.199997,68.129997,65.940002,66.809998,66.809998,5319900
2020-09-03,66.699997,67.220001,63.400002,64.430000,64.430000,6817200
2020-09-04,65.000000,65.150002,61.869999,64.489998,64.489998,7377000
2020-09-08,64.190002,64.190002,62.599998,63.000000,63.000000,4942200
2020-09-09,63.509998,65.470001,63.259998,64.930000,64.930000,4603000
2020-09-10,64.900002,64.900002,62.419998,62.419998,62.419998,4235200
2020-09-11,63.070000,64.419998,61.630001,62.090000,62.090000,7218900
